212,163,ROUBO - OUTROS,Capital,011 DP - Santo Amaro,CAPITAL,São Paulo
194,162,FURTO - OUTROS,Capital,085 DP - Jardim Mirna,CAPITAL,São Paulo
178,162,FURTO - OUTROS,Grande São Paulo (exclui Capital),005 DP - Osasco,Grande São Paulo (exclui a Capital),Osasco
150,162,FURTO - OUTROS,Interior,001 DP - Praia Grande,Santos,Praia Grande
131,157,FURTO - OUTROS,Capital,093 DP - Jaguaré,CAPITAL,São Paulo
157,157,ROUBO - OUTROS,Capital,100 DP - Jardim Herculano,CAPITAL,São Paulo
124,156,FURTO - OUTROS,Capital,098 DP - Jardim Míriam,CAPITAL,São Paulo
126,155,FURTO - OUTROS,Capital,054 DP - Cidade Tiradentes,CAPITAL,São Paulo
137,154,FURTO - OUTROS,Grande São Paulo (exclui Capital),004 DP - Guarulhos,Grande São Paulo (exclui a Capital),Guarulhos
155,154,FURTO - OUTROS,Interior,008 DP - Sorocaba,Sorocaba,Sorocaba
143,153,FURTO - OUTROS,Capital,038 DP - Vila Amália,CAPITAL,São Paulo
147,153,FURTO - OUTROS,Grande São Paulo (exclui Capital),DM - Itapevi,Grande São Paulo (exclui a Capital),Itapevi
144,150,FURTO - OUTROS,Capital,066 DP - Vale do Aricanduva,CAPITAL,São Paulo
199,149,ROUBO - OUTROS,Capital,101 DP - Jardim das Imbuias,CAPITAL,São Paulo
151,147,FURTO - OUTROS,Capital,074 DP - Jaraguá,CAPITAL,São Paulo
136,145,FURTO - OUTROS,Interior,003 DP - Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
146,144,FURTO - OUTROS,Grande São Paulo (exclui Capital),DM - Suzano,Grande São Paulo (exclui a Capital),Suzano
159,144,FURTO - OUTROS,Grande São Paulo (exclui Capital),001 DP - Mauá,Grande São Paulo (exclui a Capital),Mauá
134,143,FURTO - OUTROS,Capital,063 DP - Vila Jacuí,CAPITAL,São Paulo
144,143,ROUBO - OUTROS,Capital,044 DP - Guaianazes,CAPITAL,São Paulo
114,142,FURTO - OUTROS,Capital,095 DP - Heliópolis,CAPITAL,São Paulo
159,141,FURTO - OUTROS,Grande São Paulo (exclui Capital),DM - Itaquaquecetuba,Grande São Paulo (exclui a Capital),Itaquaquecetuba
128,139,FURTO - OUTROS,Capital,033 DP - Pirituba,CAPITAL,São Paulo
160,139,ROUBO - OUTROS,Capital,068 DP - Lajeado,CAPITAL,São Paulo
